Station	Date/Time	Latitude	Longitude	Height above ground [m]	Short-wave downward (GLOBAL) radiation [W/m**2]	Short-wave downward (GLOBAL) radiation, standard deviation [W/m**2]	Direct radiation [W/m**2]	Direct radiation, standard deviation [W/m**2]	Diffuse radiation [W/m**2]	Diffuse radiation, standard deviation [W/m**2]	Long-wave downward radiation [W/m**2]	Long-wave downward radiation, standard deviation [W/m**2]	Station pressure [hPa]
BON	2003-06-01T00:00	40.06	-88.37	2	29	0.3	0	0.1	35	0.3	368	0.0	989
BON	2003-06-01T00:03	40.06	-88.37	2	28	1.4	0	0.1	34	1.3	368	0.0	989
BON	2003-06-01T00:06	40.06	-88.37	2	22	2.3	0	0.1	30	2.2	367	0.0	989
BON	2003-06-01T00:09	40.06	-88.37	2	15	2.3	-1	0.2	22	2.3	367	0.0	989
BON	2003-06-01T00:12	40.06	-88.37	2	10	0.8	-1	0.1	17	0.9	367	0.0	989
BON	2003-06-01T00:15	40.06	-88.37	2	11	1.7	-1	0.1	18	1.4	367	0.0	989
BON	2003-06-01T00:18	40.06	-88.37	2	7	0.6	0	0.1	15	0.7	367	0.0	989
BON	2003-06-01T00:21	40.06	-88.37	2	11	1.8	0	0.1	18	1.9	367	0.0	989
BON	2003-06-01T00:24	40.06	-88.37	2	11	0.8	0	0.1	19	0.7	367	0.0	989
BON	2003-06-01T00:27	40.06	-88.37	2	8	0.7	0	0.1	16	0.7	367	0.0	989
BON	2003-06-01T00:30	40.06	-88.37	2	8	0.3	0	0.1	15	0.3	366	0.0	989
BON	2003-06-01T00:33	40.06	-88.37	2	5	0.9	0	0.1	12	0.9	365	0.0	989
BON	2003-06-01T00:36	40.06	-88.37	2	3	0.4	0	0.1	10	0.5	365	0.0	989
BON	2003-06-01T00:39	40.06	-88.37	2	3	0.4	-1	0.1	10	0.3	364	0.0	990
BON	2003-06-01T00:42	40.06	-88.37	2	3	0.6	-1	0.1	10	0.6	363	0.0	990
BON	2003-06-01T00:45	40.06	-88.37	2	3	0.6	-1	0.1	9	0.6	361	0.0	990
BON	2003-06-01T00:48	40.06	-88.37	2	3	0.3	-1	0.1	10	0.2	355	0.0	990
BON	2003-06-01T00:51	40.06	-88.37	2	3	0.2	-1	0.1	10	0.2	349	0.0	990
BON	2003-06-01T00:54	40.06	-88.37	2	2	0.4	0	0.2	9	0.4	349	0.0	990
BON	2003-06-01T00:57	40.06	-88.37	2	1	0.2	-1	0.2	8	0.2	344	0.0	990
