Station	Date/Time	Latitude	Longitude	Height above ground [m]	Short-wave downward (GLOBAL) radiation [W/m**2]	Short-wave downward (GLOBAL) radiation, standard deviation [W/m**2]	Direct radiation [W/m**2]	Direct radiation, standard deviation [W/m**2]	Diffuse radiation [W/m**2]	Diffuse radiation, standard deviation [W/m**2]	Long-wave downward radiation [W/m**2]	Long-wave downward radiation, standard deviation [W/m**2]	Station pressure [hPa]
DRA	2003-06-01T00:00	36.626	-116.018	2	534	2.2	861	1.3	80	0.3	369	0.0	896
DRA	2003-06-01T00:03	36.626	-116.018	2	524	3.7	858	2.8	79	0.5	368	0.0	896
DRA	2003-06-01T00:06	36.626	-116.018	2	512	4.3	849	3.5	78	0.2	367	0.0	896
DRA	2003-06-01T00:09	36.626	-116.018	2	501	3.3	844	1.8	78	0.2	367	0.0	896
DRA	2003-06-01T00:12	36.626	-116.018	2	491	2.6	844	0.5	78	0.5	368	0.0	896
DRA	2003-06-01T00:15	36.626	-116.018	2	479	4.7	836	5.1	76	0.2	368	0.0	896
DRA	2003-06-01T00:18	36.626	-116.018	2	466	3.1	826	1.5	76	0.2	368	0.0	896
DRA	2003-06-01T00:21	36.626	-116.018	2	456	3.3	823	1.6	76	0.1	369	0.0	896
DRA	2003-06-01T00:24	36.626	-116.018	2	444	4.1	816	4.2	76	0.3	369	0.0	896
DRA	2003-06-01T00:27	36.626	-116.018	2	433	4.1	809	3.4	75	0.2	368	0.0	896
DRA	2003-06-01T00:30	36.626	-116.018	2	421	3.2	803	2.1	75	0.3	369	0.0	896
DRA	2003-06-01T00:33	36.626	-116.018	2	412	2.7	804	1.3	74	0.3	368	0.0	896
DRA	2003-06-01T00:36	36.626	-116.018	2	398	5.0	791	6.8	73	0.4	368	0.0	896
DRA	2003-06-01T00:39	36.626	-116.018	2	385	2.8	781	1.7	72	0.2	367	0.0	896
DRA	2003-06-01T00:42	36.626	-116.018	2	376	3.9	779	3.5	72	0.3	367	0.0	896
DRA	2003-06-01T00:45	36.626	-116.018	2	365	2.3	772	0.9	71	0.3	367	0.0	896
DRA	2003-06-01T00:48	36.626	-116.018	2	354	3.0	766	1.4	70	0.2	368	0.0	896
DRA	2003-06-01T00:51	36.626	-116.018	2	344	3.5	761	2.6	70	0.3	368	0.0	895
DRA	2003-06-01T00:54	36.626	-116.018	2	331	3.5	749	3.4	69	0.4	368	0.0	895
DRA	2003-06-01T00:57	36.626	-116.018	2	321	2.5	745	0.3	68	0.2	367	0.0	895
DRA	2003-06-01T01:00	36.626	-116.018	2	313	2.8	745	1.4	67	0.4	368	0.0	895
DRA	2003-06-01T01:03	36.626	-116.018	2	302	2.9	738	1.5	66	0.3	368	0.0	895
DRA	2003-06-01T01:06	36.626	-116.018	2	292	2.9	731	2.5	65	0.4	367	0.0	895
DRA	2003-06-01T01:09	36.626	-116.018	2	278	4.0	715	5.1	64	0.4	368	0.0	895
DRA	2003-06-01T01:12	36.626	-116.018	2	266	3.2	701	3.5	62	0.5	367	0.0	895
DRA	2003-06-01T01:15	36.626	-116.018	2	257	2.2	697	0.9	62	0.1	367	0.0	895
DRA	2003-06-01T01:18	36.626	-116.018	2	247	3.9	688	6.4	61	0.3	367	0.0	895
DRA	2003-06-01T01:21	36.626	-116.018	2	235	3.4	672	4.4	60	0.3	367	0.0	895
DRA	2003-06-01T01:24	36.626	-116.018	2	225	2.8	665	2.2	60	0.2	368	0.0	895
DRA	2003-06-01T01:27	36.626	-116.018	2	215	3.3	653	5.2	58	0.4	367	0.0	895
DRA	2003-06-01T01:30	36.626	-116.018	2	204	3.0	639	2.9	57	0.2	368	0.0	895
DRA	2003-06-01T01:33	36.626	-116.018	2	193	2.8	628	2.5	56	0.4	368	0.0	895
DRA	2003-06-01T01:36	36.626	-116.018	2	183	3.0	616	4.0	54	0.4	367	0.0	895
DRA	2003-06-01T01:39	36.626	-116.018	2	172	3.1	602	4.1	53	0.3	366	0.0	895
DRA	2003-06-01T01:42	36.626	-116.018	2	163	2.5	592	2.5	52	0.4	365	0.0	895
DRA	2003-06-01T01:45	36.626	-116.018	2	154	2.5	583	2.7	50	0.5	366	0.0	895
DRA	2003-06-01T01:48	36.626	-116.018	2	144	3.1	565	5.9	49	0.3	366	0.0	895
DRA	2003-06-01T01:51	36.626	-116.018	2	134	2.8	550	4.1	47	0.6	366	0.0	895
DRA	2003-06-01T01:54	36.626	-116.018	2	124	2.7	535	3.7	45	0.7	365	0.0	895
DRA	2003-06-01T01:57	36.626	-116.018	2	115	2.6	522	4.3	44	0.4	365	0.0	896
DRA	2003-06-01T02:00	36.626	-116.018	2	106	2.7	506	5.3	42	0.4	364	0.0	896
DRA	2003-06-01T02:03	36.626	-116.018	2	97	2.7	486	6.6	40	0.5	364	0.0	896
DRA	2003-06-01T02:06	36.626	-116.018	2	88	2.4	464	5.2	39	0.4	364	0.0	896
DRA	2003-06-01T02:09	36.626	-116.018	2	80	2.8	444	6.1	37	0.5	364	0.0	896
DRA	2003-06-01T02:12	36.626	-116.018	2	69	1.2	421	7.2	36	0.5	364	0.0	896
DRA	2003-06-01T02:15	36.626	-116.018	2	63	2.3	396	6.6	34	0.5	364	0.0	896
DRA	2003-06-01T02:18	36.626	-116.018	2	55	2.2	371	7.6	31	0.7	364	0.0	896
DRA	2003-06-01T02:21	36.626	-116.018	2	48	2.1	348	6.8	29	0.6	363	0.0	896
DRA	2003-06-01T02:24	36.626	-116.018	2	41	1.9	323	8.0	27	0.6	363	0.0	896
DRA	2003-06-01T02:27	36.626	-116.018	2	34	1.9	293	8.5	25	0.7	363	0.0	896
DRA	2003-06-01T02:30	36.626	-116.018	2	27	2.1	263	9.0	23	0.7	363	0.0	896
