Station	Date/Time	Latitude	Longitude	Height above ground [m]	Short-wave downward (GLOBAL) radiation [W/m**2]	Short-wave downward (GLOBAL) radiation, standard deviation [W/m**2]	Direct radiation [W/m**2]	Direct radiation, standard deviation [W/m**2]	Diffuse radiation [W/m**2]	Diffuse radiation, standard deviation [W/m**2]	Long-wave downward radiation [W/m**2]	Long-wave downward radiation, standard deviation [W/m**2]	Station pressure [hPa]
GCR	2003-06-01T00:00	34.25	-80.87	2	115	6.9	302	25.4	72	1.4	367	0.0	999
GCR	2003-06-01T00:03	34.25	-80.87	2	105	0.8	284	3.9	68	0.9	366	0.0	999
GCR	2003-06-01T00:06	34.25	-80.87	2	100	2.4	285	4.8	65	1.0	366	0.0	999
GCR	2003-06-01T00:09	34.25	-80.87	2	92	1.6	272	2.0	61	0.9	366	0.0	999
GCR	2003-06-01T00:12	34.25	-80.87	2	86	2.2	269	4.7	59	0.8	365	0.0	999
GCR	2003-06-01T00:15	34.25	-80.87	2	74	7.6	228	42.0	55	1.6	365	0.0	999
GCR	2003-06-01T00:18	34.25	-80.87	2	55	2.3	136	6.0	49	1.7	365	0.0	999
GCR	2003-06-01T00:21	34.25	-80.87	2	47	3.3	110	15.1	44	1.3	364	0.0	999
GCR	2003-06-01T00:24	34.25	-80.87	2	43	1.1	115	3.9	40	0.9	364	0.0	999
GCR	2003-06-01T00:27	34.25	-80.87	2	36	2.7	90	13.8	36	1.2	363	0.0	999
GCR	2003-06-01T00:30	34.25	-80.87	2	33	0.3	99	7.8	33	0.8	363	0.0	999
GCR	2003-06-01T00:33	34.25	-80.87	2	30	3.0	102	22.4	31	0.9	363	0.0	999
GCR	2003-06-01T00:36	34.25	-80.87	2	25	0.5	87	14.3	27	0.5	363	0.0	999
GCR	2003-06-01T00:39	34.25	-80.87	2	23	1.3	91	5.0	26	0.6	363	0.0	999
GCR	2003-06-01T00:42	34.25	-80.87	2	20	0.8	82	5.2	24	0.6	362	0.0	999
GCR	2003-06-01T00:45	34.25	-80.87	2	14	2.1	39	17.1	21	1.1	362	0.0	999
GCR	2003-06-01T00:48	34.25	-80.87	2	9	0.8	16	2.0	17	0.8	361	0.0	999
GCR	2003-06-01T00:51	34.25	-80.87	2	6	0.8	3	3.3	14	0.8	360	0.0	999
