Station	Date/Time	Latitude	Longitude	Height above ground [m]	Short-wave downward (GLOBAL) radiation [W/m**2]	Short-wave downward (GLOBAL) radiation, standard deviation [W/m**2]	Direct radiation [W/m**2]	Direct radiation, standard deviation [W/m**2]	Diffuse radiation [W/m**2]	Diffuse radiation, standard deviation [W/m**2]	Long-wave downward radiation [W/m**2]	Long-wave downward radiation, standard deviation [W/m**2]	Station pressure [hPa]
PSU	2003-06-01T00:00	40.72	-77.93	2	-2	0.5	0	0.1	4	0.4	382	0.0	952
PSU	2003-06-01T00:03	40.72	-77.93	2	-3	0.2	0	0.1	3	0.1	383	0.0	952
PSU	2003-06-01T00:06	40.72	-77.93	2	-4	0.3	0	0.1	3	0.1	381	0.0	952
PSU	2003-06-01T00:09	40.72	-77.93	2	-3	0.3	0	0.1	3	0.1	377	0.0	952
PSU	2003-06-01T00:12	40.72	-77.93	2	-4	0.2	0	0.1	2	0.2	378	0.0	952
PSU	2003-06-01T00:15	40.72	-77.93	2	-4	0.2	0	0.1	3	0.1	372	0.0	952
PSU	2003-06-01T00:18	40.72	-77.93	2	-4	0.2	0	0.1	3	0.1	370	0.0	952
PSU	2003-06-01T00:21	40.72	-77.93	2	-3	0.2	0	0.1	3	0.1	370	0.0	952
PSU	2003-06-01T00:24	40.72	-77.93	2	-4	0.2	0	0.1	2	0.1	369	0.0	952
PSU	2003-06-01T00:27	40.72	-77.93	2	-4	0.3	0	0.1	2	0.3	368	0.0	952
PSU	2003-06-01T00:30	40.72	-77.93	2	-5	0.2	0	0.1	1	0.2	368	0.0	952
PSU	2003-06-01T00:33	40.72	-77.93	2	-6	0.2	0	0.1	1	0.1	369	0.0	952
PSU	2003-06-01T00:36	40.72	-77.93	2	-6	0.2	0	0.1	1	0.1	369	0.0	952
PSU	2003-06-01T00:39	40.72	-77.93	2	-6	0.2	1	0.1	0	0.1	371	0.0	952
PSU	2003-06-01T00:42	40.72	-77.93	2	-6	0.2	1	0.1	0	0.2	374	0.0	952
PSU	2003-06-01T00:45	40.72	-77.93	2	-7	0.2	1	0.0	0	0.1	376	0.0	952
PSU	2003-06-01T00:48	40.72	-77.93	2	-7	0.2	1	0.0	0	0.1	375	0.0	952
PSU	2003-06-01T00:51	40.72	-77.93	2	-7	0.1	1	0.0	0	0.1	373	0.0	952
PSU	2003-06-01T00:54	40.72	-77.93	2	-7	0.1	1	0.0	0	0.1	370	0.0	952
PSU	2003-06-01T00:57	40.72	-77.93	2	-7	0.1	1	0.1	0	0.1	369	0.0	952
PSU	2003-06-01T01:00	40.72	-77.93	2	-7	0.1	1	0.1	-1	0.1	369	0.0	952
PSU	2003-06-01T01:03	40.72	-77.93	2	-7	0.1	1	0.1	-1	0.1	365	0.0	952
PSU	2003-06-01T01:06	40.72	-77.93	2	-7	0.1	1	0.1	-1	0.1	359	0.0	952
PSU	2003-06-01T01:09	40.72	-77.93	2	-7	0.1	1	0.1	-1	0.1	370	0.0	952
PSU	2003-06-01T01:12	40.72	-77.93	2	-7	0.1	1	0.1	-1	0.1	378	0.0	952
PSU	2003-06-01T01:15	40.72	-77.93	2	-7	0.1	1	0.1	-1	0.1	380	0.0	952
PSU	2003-06-01T01:18	40.72	-77.93	2	-7	0.1	1	0.0	-1	0.1	381	0.0	952
PSU	2003-06-01T01:21	40.72	-77.93	2	-7	0.0	1	0.1	-1	0.1	380	0.0	952
