"","lat","lon","day","sis","sid","id"
"1",-23.798,133.888,1,3925.3,5431.98333333333,"-23.798 133.888 1"
"2",-23.798,133.888,2,4766.31666666667,8629.63333333333,"-23.798 133.888 2"
"3",-23.798,133.888,3,4777.01666666667,8710.71666666667,"-23.798 133.888 3"
"4",-23.798,133.888,4,4804.13333333333,8785.88333333333,"-23.798 133.888 4"
"5",-23.798,133.888,5,4757.85,8714.96666666667,"-23.798 133.888 5"
"6",-23.798,133.888,6,4714.76666666667,8651.81666666667,"-23.798 133.888 6"
"7",-23.798,133.888,7,4758.35,8666.41666666667,"-23.798 133.888 7"
"8",-23.798,133.888,8,4677.88333333333,8602.93333333333,"-23.798 133.888 8"
"9",-23.798,133.888,9,4702.08333333333,8687.68333333333,"-23.798 133.888 9"
"10",-23.798,133.888,10,4562.31666666667,8096.41666666667,"-23.798 133.888 10"
"11",-23.798,133.888,11,4589.11666666667,7769.68333333333,"-23.798 133.888 11"
"12",-23.798,133.888,12,4574.4,8347.41666666667,"-23.798 133.888 12"
"13",-23.798,133.888,13,4664.51666666667,8244.76666666667,"-23.798 133.888 13"
"14",-23.798,133.888,14,4544,7814.73333333333,"-23.798 133.888 14"
"15",-23.798,133.888,15,4267.66666666667,6857.56666666667,"-23.798 133.888 15"
"16",-23.798,133.888,16,2545.81666666667,1893.41666666667,"-23.798 133.888 16"
"17",-23.798,133.888,17,4611.43333333333,8591.8,"-23.798 133.888 17"
"18",-23.798,133.888,18,4589.91666666667,8507.38333333333,"-23.798 133.888 18"
"19",-23.798,133.888,19,4636.06666666667,8687.61666666667,"-23.798 133.888 19"
"20",-23.798,133.888,20,4440.53333333333,8317.11666666667,"-23.798 133.888 20"
"21",-23.798,133.888,21,4073.96666666667,5265.91666666667,"-23.798 133.888 21"
"22",-23.798,133.888,22,3117.68333333333,4110.31666666667,"-23.798 133.888 22"
"23",-23.798,133.888,23,4106.3,5202.88333333333,"-23.798 133.888 23"
"24",-23.798,133.888,24,4248.4,6922.16666666667,"-23.798 133.888 24"
"25",-23.798,133.888,25,4394.96666666667,8193.61666666667,"-23.798 133.888 25"
"26",-23.798,133.888,26,4455.3,8141.38333333333,"-23.798 133.888 26"
"27",-23.798,133.888,27,4479.68333333333,7939.61666666667,"-23.798 133.888 27"
"28",-23.798,133.888,28,4409.38333333333,7470.66666666667,"-23.798 133.888 28"
"29",-23.798,133.888,29,3591.98333333333,4618.3,"-23.798 133.888 29"
"30",-23.798,133.888,30,1221.08333333333,1285.71666666667,"-23.798 133.888 30"
"31",32.303,-64.767,1,5031.26666666667,614.1,"32.303 -64.767 1"
"32",32.303,-64.767,2,2390.98333333333,226.983333333333,"32.303 -64.767 2"
"33",32.303,-64.767,3,3401.41666666667,664.683333333333,"32.303 -64.767 3"
"34",32.303,-64.767,4,6367.56666666667,2852.7,"32.303 -64.767 4"
"35",32.303,-64.767,5,7343.93333333333,5285.63333333333,"32.303 -64.767 5"
"36",32.303,-64.767,6,6569.88333333333,3607.95,"32.303 -64.767 6"
"37",32.303,-64.767,7,8379.95,8433.13333333333,"32.303 -64.767 7"
"38",32.303,-64.767,8,8377.18333333333,8985.21666666667,"32.303 -64.767 8"
"39",32.303,-64.767,9,8069.7,8009.23333333333,"32.303 -64.767 9"
"40",32.303,-64.767,10,7911.83333333333,8035.95,"32.303 -64.767 10"
"41",32.303,-64.767,11,8327.31666666667,9224.73333333333,"32.303 -64.767 11"
"42",32.303,-64.767,12,6625.6,6311.85,"32.303 -64.767 12"
"43",32.303,-64.767,13,4580.9,3638.6,"32.303 -64.767 13"
"44",32.303,-64.767,14,8104.28333333333,8565.65,"32.303 -64.767 14"
"45",32.303,-64.767,15,8404.36666666667,8114.63333333333,"32.303 -64.767 15"
"46",32.303,-64.767,16,6926.98333333333,5071.9,"32.303 -64.767 16"
"47",32.303,-64.767,17,789.266666666667,1.86666666666667,"32.303 -64.767 17"
"48",32.303,-64.767,18,4699.21666666667,1247.46666666667,"32.303 -64.767 18"
"49",32.303,-64.767,19,6867.2,3905.6,"32.303 -64.767 19"
"50",32.303,-64.767,20,6843.06666666667,4019.9,"32.303 -64.767 20"
"51",32.303,-64.767,21,5416.76666666667,1676.03333333333,"32.303 -64.767 21"
"52",32.303,-64.767,22,6405.46666666667,2994.7,"32.303 -64.767 22"
"53",32.303,-64.767,23,4020.36666666667,328.6,"32.303 -64.767 23"
"54",32.303,-64.767,24,6493.91666666667,3287.65,"32.303 -64.767 24"
"55",32.303,-64.767,25,7878.43333333333,7282.75,"32.303 -64.767 25"
"56",32.303,-64.767,26,6761.23333333333,4325.61666666667,"32.303 -64.767 26"
"57",32.303,-64.767,27,7062.31666666667,4035.13333333333,"32.303 -64.767 27"
"58",32.303,-64.767,28,5434.88333333333,1813.48333333333,"32.303 -64.767 28"
"59",32.303,-64.767,29,7722.25,5104.06666666667,"32.303 -64.767 29"
"60",32.303,-64.767,30,6488.98333333333,2825.38333333333,"32.303 -64.767 30"
"61",36.605,-97.515,1,7745.31666666667,7130.88333333333,"36.605 -97.515 1"
"62",36.605,-97.515,2,7213.16666666667,6894.4,"36.605 -97.515 2"
"63",36.605,-97.515,3,3329.51666666667,1345.75,"36.605 -97.515 3"
"64",36.605,-97.515,4,4146.76666666667,1327.58333333333,"36.605 -97.515 4"
"65",36.605,-97.515,5,1652.18333333333,28.4333333333333,"36.605 -97.515 5"
